2024-11-16 21:50:31 [info] : [Debug Manager] Starting launch in 'debug' mode using configuration: {"name":"gps-parser","type":"gdb","request":"launch","target":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build/csim.exe","cwd":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build","gdbpath":"${env:XILINX_HLS}/tps/lnx64/gdb-9.2/bin/gdb","valuesFormatting":"prettyPrinters","__configUri":"file:///ecel/UFAD/mark.gross/fnn-gps/gps-parser/_ide/.theia/launch.json"} 
2024-11-16 21:50:31 [info] : [Debug Manager] Launch session has started on the configuration 'gps-parser' 
2024-11-16 21:51:18 [info] : [Debug Manager] Launch session has terminated on the configuration 'gps-parser' 
2024-11-16 21:52:04 [info] : [Debug Manager] Starting launch in 'debug' mode using configuration: {"name":"gps-parser","type":"gdb","request":"launch","target":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build/csim.exe","cwd":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build","gdbpath":"${env:XILINX_HLS}/tps/lnx64/gdb-9.2/bin/gdb","valuesFormatting":"prettyPrinters","__configUri":"file:///ecel/UFAD/mark.gross/fnn-gps/gps-parser/_ide/.theia/launch.json"} 
2024-11-16 21:52:05 [info] : [Debug Manager] Launch session has started on the configuration 'gps-parser' 
2024-11-16 21:52:09 [info] : [Debug Manager] Launch session has terminated on the configuration 'gps-parser' 
2024-11-16 21:52:49 [info] : [Debug Manager] Starting launch in 'debug' mode using configuration: {"name":"gps-parser","type":"gdb","request":"launch","target":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build/csim.exe","cwd":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build","gdbpath":"${env:XILINX_HLS}/tps/lnx64/gdb-9.2/bin/gdb","valuesFormatting":"prettyPrinters","__configUri":"file:///ecel/UFAD/mark.gross/fnn-gps/gps-parser/_ide/.theia/launch.json"} 
2024-11-16 21:52:49 [info] : [Debug Manager] Launch session has started on the configuration 'gps-parser' 
2024-11-16 21:53:32 [info] : [Debug Manager] Launch session has terminated on the configuration 'gps-parser' 
2024-11-16 21:53:57 [info] : [Debug Manager] Starting launch in 'debug' mode using configuration: {"name":"gps-parser","type":"gdb","request":"launch","target":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build/csim.exe","cwd":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build","gdbpath":"${env:XILINX_HLS}/tps/lnx64/gdb-9.2/bin/gdb","valuesFormatting":"prettyPrinters","__configUri":"file:///ecel/UFAD/mark.gross/fnn-gps/gps-parser/_ide/.theia/launch.json"} 
2024-11-16 21:53:57 [info] : [Debug Manager] Launch session has started on the configuration 'gps-parser' 
2024-11-16 21:55:11 [info] : [Debug Manager] Launch session has terminated on the configuration 'gps-parser' 
2024-11-16 21:55:29 [info] : [Debug Manager] Starting launch in 'debug' mode using configuration: {"name":"gps-parser","type":"gdb","request":"launch","target":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build/csim.exe","cwd":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build","gdbpath":"${env:XILINX_HLS}/tps/lnx64/gdb-9.2/bin/gdb","valuesFormatting":"prettyPrinters","__configUri":"file:///ecel/UFAD/mark.gross/fnn-gps/gps-parser/_ide/.theia/launch.json"} 
2024-11-16 21:55:29 [info] : [Debug Manager] Launch session has started on the configuration 'gps-parser' 
2024-11-16 21:56:45 [info] : [Debug Manager] Launch session has terminated on the configuration 'gps-parser' 
2024-11-16 21:57:01 [info] : [Debug Manager] Starting launch in 'debug' mode using configuration: {"name":"gps-parser","type":"gdb","request":"launch","target":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build/csim.exe","cwd":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build","gdbpath":"${env:XILINX_HLS}/tps/lnx64/gdb-9.2/bin/gdb","valuesFormatting":"prettyPrinters","__configUri":"file:///ecel/UFAD/mark.gross/fnn-gps/gps-parser/_ide/.theia/launch.json"} 
2024-11-16 21:57:01 [info] : [Debug Manager] Launch session has started on the configuration 'gps-parser' 
2024-11-16 21:57:17 [info] : [Debug Manager] Launch session has terminated on the configuration 'gps-parser' 
2024-11-16 21:57:45 [info] : [Debug Manager] Starting launch in 'debug' mode using configuration: {"name":"gps-parser","type":"gdb","request":"launch","target":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build/csim.exe","cwd":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build","gdbpath":"${env:XILINX_HLS}/tps/lnx64/gdb-9.2/bin/gdb","valuesFormatting":"prettyPrinters","__configUri":"file:///ecel/UFAD/mark.gross/fnn-gps/gps-parser/_ide/.theia/launch.json"} 
2024-11-16 21:57:46 [info] : [Debug Manager] Launch session has started on the configuration 'gps-parser' 
2024-11-16 21:58:40 [info] : [Debug Manager] Launch session has terminated on the configuration 'gps-parser' 
2024-11-16 21:59:03 [info] : [Debug Manager] Starting launch in 'debug' mode using configuration: {"name":"gps-parser","type":"gdb","request":"launch","target":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build/csim.exe","cwd":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build","gdbpath":"${env:XILINX_HLS}/tps/lnx64/gdb-9.2/bin/gdb","valuesFormatting":"prettyPrinters","__configUri":"file:///ecel/UFAD/mark.gross/fnn-gps/gps-parser/_ide/.theia/launch.json"} 
2024-11-16 21:59:03 [info] : [Debug Manager] Launch session has started on the configuration 'gps-parser' 
2024-11-16 22:00:34 [info] : [Debug Manager] Launch session has terminated on the configuration 'gps-parser' 
